                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.50504,                0.34391,                0.91073,                0.99853,                      1,                  0.995,                0.89915,                0.47523,                0.23833,                0.90923,              0.0007526,              0.0007526,              0.0007526
                     65,                0.52263,                0.34502,                0.92023,                0.99898,                      1,                  0.995,                0.92654,                 0.4446,                0.21567,                0.89711,              0.0007328,              0.0007328,              0.0007328
                     66,                0.51258,                0.34937,                0.92208,                0.99855,                      1,                  0.995,                0.91576,                0.48913,                0.23745,                0.91586,               0.000713,               0.000713,               0.000713
                     67,                0.53097,                0.35146,                0.94171,                0.99868,                      1,                  0.995,                 0.9027,                0.49579,                0.24682,                0.93236,              0.0006932,              0.0006932,              0.0006932
                     68,                0.51548,                 0.3455,                0.92005,                0.99869,                      1,                  0.995,                 0.9293,                0.45704,                0.23392,                0.90489,              0.0006734,              0.0006734,              0.0006734
                     69,                0.51474,                0.35201,                0.91773,                 0.9987,                      1,                  0.995,                0.91042,                0.46122,                0.22548,                0.91168,              0.0006536,              0.0006536,              0.0006536
                     70,                0.49822,                0.33951,                0.91443,                0.99861,                      1,                  0.995,                0.90725,                 0.4932,                0.25144,                0.92583,              0.0006338,              0.0006338,              0.0006338
                     71,                0.49237,                0.33148,                0.91423,                0.99885,                      1,                  0.995,                0.91907,                0.47663,                0.24816,                0.91814,               0.000614,               0.000614,               0.000614
                     72,                0.47223,                0.31677,                 0.9066,                0.99879,                      1,                  0.995,                0.91584,                0.46199,                 0.2314,                 0.9102,              0.0005942,              0.0005942,              0.0005942
                     73,                0.47524,                0.32537,                0.90301,                0.99923,                      1,                  0.995,                0.92514,                0.47481,                0.23078,                0.91523,              0.0005744,              0.0005744,              0.0005744
                     74,                0.47894,                0.32032,                0.90495,                0.99888,                      1,                  0.995,                0.92562,                0.45555,                0.22406,                0.91076,              0.0005546,              0.0005546,              0.0005546
                     75,                0.47409,                0.32398,                0.90393,                0.99878,                      1,                  0.995,                 0.9269,                0.47331,                0.23065,                0.91716,              0.0005348,              0.0005348,              0.0005348
                     76,                0.45056,                0.31235,                0.89449,                0.99902,                      1,                  0.995,                0.93748,                0.44029,                0.22749,                0.90873,               0.000515,               0.000515,               0.000515
                     77,                0.46549,                0.32403,                0.89365,                0.99889,                      1,                  0.995,                0.92274,                 0.4604,                0.22588,                0.91428,              0.0004952,              0.0004952,              0.0004952
                     78,                0.45856,                0.31466,                0.89656,                0.99882,                      1,                  0.995,                0.92809,                0.45078,                0.22212,                0.90755,              0.0004754,              0.0004754,              0.0004754
                     79,                0.45177,                0.30865,                0.89272,                      1,                 0.9992,                  0.995,                0.93332,                0.45432,                0.23873,                0.90997,              0.0004556,              0.0004556,              0.0004556
                     80,                0.44858,                0.29974,                0.89264,                0.99924,                      1,                  0.995,                0.94038,                0.46076,                0.21645,                0.91607,              0.0004358,              0.0004358,              0.0004358
                     81,                0.44107,                0.30728,                0.88819,                0.99937,                      1,                  0.995,                 0.9371,                0.46313,                0.23541,                 0.9116,               0.000416,               0.000416,               0.000416
                     82,                0.42745,                0.28834,                0.88129,                0.99895,                      1,                  0.995,                0.93072,                0.46422,                0.22032,                 0.9181,              0.0003962,              0.0003962,              0.0003962
                     83,                0.43746,                0.30467,                0.89279,                0.99921,                      1,                  0.995,                0.92788,                0.44755,                0.21824,                0.90684,              0.0003764,              0.0003764,              0.0003764
                     84,                0.43837,                0.31083,                0.89421,                0.99902,                      1,                  0.995,                0.93821,                 0.4586,                0.23067,                0.91497,              0.0003566,              0.0003566,              0.0003566
                     85,                0.42591,                0.30095,                0.88998,                0.99873,                      1,                  0.995,                0.92909,                0.44769,                0.21404,                0.91685,              0.0003368,              0.0003368,              0.0003368
